Meeting Date,Race Name,Race Number,Race Time
2024-11-05,R1 Gosford,Race 1,05:57 PM
2024-11-05,R2 Angle Park,Race 2,05:59 PM
2024-11-05,R6 Bunbury,Race 6,06:00 PM
2024-11-05,R11 Horsham,Race 11,06:02 PM
2024-11-05,R3 Wagga,Race 3,06:03 PM
2024-11-05,R4 Mandurah,Race 4,06:06 PM
2024-11-05,R3 Geelong,Race 3,06:07 PM
2024-11-05,R2 Bulli,Race 2,06:10 PM
2024-11-05,R5 Geraldton,Race 5,06:13 PM
2024-11-05,R12 Sale,Race 12,06:15 PM
2024-11-05,R2 Shepparton,Race 2,06:17 PM
2024-11-05,R12 Horsham,Race 12,06:18 PM
2024-11-05,R2 Gosford,Race 2,06:21 PM
2024-11-05,R3 Angle Park,Race 3,06:22 PM
2024-11-05,R4 Geelong,Race 4,06:24 PM
2024-11-05,R2 Mount Gambier,Race 2,06:26 PM
2024-11-05,R3 Bulli,Race 3,06:27 PM
2024-11-05,R8 Ascot,Race 8,06:30 PM
2024-11-05,R5 Mandurah,Race 5,06:31 PM
2024-11-05,R4 Wagga,Race 4,06:33 PM
2024-11-05,R1 Ipswich,Race 1,06:37 PM
2024-11-05,R7 Bunbury,Race 7,06:40 PM
2024-11-05,R4 Angle Park,Race 4,06:41 PM
2024-11-05,R3 Gosford,Race 3,06:44 PM
2024-11-05,R5 Geelong,Race 5,06:47 PM
2024-11-05,R4 Bulli,Race 4,06:50 PM
2024-11-05,R6 Mandurah,Race 6,06:52 PM
2024-11-05,R6 Geraldton,Race 6,06:53 PM
2024-11-05,R1 Townsville,Race 1,06:55 PM
2024-11-05,R3 Shepparton,Race 3,06:57 PM
2024-11-05,R5 Angle Park,Race 5,06:58 PM
2024-11-05,R2 Ipswich,Race 2,07:01 PM
2024-11-05,R3 Mount Gambier,Race 3,07:03 PM
2024-11-05,R4 Gosford,Race 4,07:04 PM
2024-11-05,R6 Geelong,Race 6,07:07 PM
2024-11-05,R7 Mandurah,Race 7,07:09 PM
2024-11-05,R9 Ascot,Race 9,07:10 PM
2024-11-05,R2 Townsville,Race 2,07:12 PM
2024-11-05,R5 Wagga,Race 5,07:13 PM
2024-11-05,R6 Angle Park,Race 6,07:15 PM
2024-11-05,R5 Bulli,Race 5,07:18 PM
2024-11-05,R3 Ipswich,Race 3,07:21 PM
2024-11-05,R5 Gosford,Race 5,07:24 PM
2024-11-05,R7 Geelong,Race 7,07:27 PM
2024-11-05,R7 Geraldton,Race 7,07:30 PM
2024-11-05,R8 Mandurah,Race 8,07:32 PM
2024-11-05,R4 Shepparton,Race 4,07:33 PM
2024-11-05,R3 Townsville,Race 3,07:35 PM
2024-11-05,R6 Bulli,Race 6,07:38 PM
2024-11-05,R7 Angle Park,Race 7,07:40 PM
2024-11-05,R4 Ipswich,Race 4,07:41 PM
2024-11-05,R4 Mount Gambier,Race 4,07:42 PM
2024-11-05,R6 Gosford,Race 6,07:44 PM
2024-11-05,R6 Wagga,Race 6,07:47 PM
2024-11-05,R9 Mandurah,Race 9,07:48 PM
2024-11-05,R8 Geelong,Race 8,07:52 PM
2024-11-05,R4 Townsville,Race 4,07:55 PM
2024-11-05,R5 Shepparton,Race 5,08:00 PM
2024-11-05,R5 Mount Gambier,Race 5,08:10 PM
2024-11-05,R7 Wagga,Race 7,08:17 PM
2024-11-05,R6 Shepparton,Race 6,08:30 PM
2024-11-05,R6 Mount Gambier,Race 6,08:42 PM
2024-11-05,R8 Wagga,Race 8,08:47 PM
2024-11-05,R7 Shepparton,Race 7,09:00 PM
2024-11-05,R8 Shepparton,Race 8,09:30 PM
2024-11-06,R1 New Plymouth Raceway,Race 1,10:03 AM
2024-11-06,R2 New Plymouth Raceway,Race 2,10:43 AM
2024-11-06,R3 New Plymouth Raceway,Race 3,11:18 AM
2024-11-06,R1 Kyneton,Race 1,11:45 AM
2024-11-06,R4 New Plymouth Raceway,Race 4,11:53 AM
2024-11-06,R1 Gloucester Park,Race 1,12:07 PM
2024-11-06,R2 Kyneton,Race 2,12:15 PM
2024-11-06,R5 New Plymouth Raceway,Race 5,12:23 PM
2024-11-06,R1 Port Lincoln,Race 1,12:30 PM
2024-11-06,R1 Maryborough,Race 1,12:37 PM
2024-11-06,R2 Gloucester Park,Race 2,12:45 PM
2024-11-06,R3 Kyneton,Race 3,12:50 PM
2024-11-06,R6 New Plymouth Raceway,Race 6,12:58 PM
2024-11-06,R2 Port Lincoln,Race 2,01:05 PM
2024-11-06,R2 Maryborough,Race 2,01:08 PM
2024-11-06,R1 Grafton,Race 1,01:15 PM
2024-11-06,R3 Gloucester Park,Race 3,01:18 PM
2024-11-06,R4 Kyneton,Race 4,01:25 PM
2024-11-06,R7 New Plymouth Raceway,Race 7,01:33 PM
2024-11-06,R3 Port Lincoln,Race 3,01:40 PM
2024-11-06,R3 Maryborough,Race 3,01:43 PM
2024-11-06,R2 Grafton,Race 2,01:50 PM
2024-11-06,R4 Gloucester Park,Race 4,01:53 PM
2024-11-06,R5 Kyneton,Race 5,02:00 PM
2024-11-06,R4 Port Lincoln,Race 4,02:15 PM
2024-11-06,R4 Maryborough,Race 4,02:18 PM
2024-11-06,R3 Grafton,Race 3,02:25 PM
2024-11-06,R5 Gloucester Park,Race 5,02:28 PM
2024-11-06,R6 Kyneton,Race 6,02:35 PM
2024-11-06,R5 Port Lincoln,Race 5,02:50 PM
2024-11-06,R5 Maryborough,Race 5,02:53 PM
2024-11-06,R4 Grafton,Race 4,03:00 PM
2024-11-06,R6 Gloucester Park,Race 6,03:03 PM
2024-11-06,R7 Kyneton,Race 7,03:10 PM
2024-11-06,R6 Port Lincoln,Race 6,03:25 PM
2024-11-06,R6 Maryborough,Race 6,03:28 PM
2024-11-06,R5 Grafton,Race 5,03:35 PM
2024-11-06,R7 Gloucester Park,Race 7,03:38 PM
2024-11-06,R8 Kyneton,Race 8,03:45 PM
2024-11-06,R7 Port Lincoln,Race 7,04:00 PM
2024-11-06,R7 Maryborough,Race 7,04:03 PM
2024-11-06,R6 Grafton,Race 6,04:10 PM
2024-11-06,R8 Gloucester Park,Race 8,04:13 PM
2024-11-06,R9 Kyneton,Race 9,04:20 PM
2024-11-06,R8 Port Lincoln,Race 8,04:35 PM
2024-11-06,R8 Maryborough,Race 8,04:38 PM
2024-11-06,R7 Grafton,Race 7,04:45 PM
2024-11-06,R9 Gloucester Park,Race 9,04:52 PM
2024-11-06,R9 Maryborough,Race 9,05:03 PM
2024-11-06,R1 Bathurst,Race 1,05:11 PM
2024-11-06,R8 Grafton,Race 8,05:20 PM
2024-11-06,R1 Bendigo,Race 1,05:30 PM
2024-11-06,R2 Bathurst,Race 2,05:37 PM
2024-11-06,R1 Redcliffe,Race 1,05:47 PM
2024-11-07,R1 Pukekohe,Race 1,09:28 AM
